cntyname,pct_change_14_24
Mackinac,-2.285283776996476
Chippewa,2.19780219780219
Keweenaw,4.101838755304102
Gogebic,5.173347778981588
Baraga,6.265060240963856
Iron,6.873111782477344
Montmorency,7.37179487179487
Hillsdale,7.80376207422472
Kalkaska,8.864915572232649
Calhoun,9.372746935832748
Huron,10.066953610712584
Antrim,10.634472129463132
Cass,10.886850152905206
Schoolcraft,12.364280966097942
Missaukee,12.449320295730992
Kalamazoo,12.931442080378247
Luce,13.60393603936038
Gladwin,13.645998940116588
Crawford,14.848914069877237
Lake,14.93999510164095
Wexford,15.196956132497782
Branch,15.265131226566686
Monroe,16.08792609111182
Muskegon,16.301590961494117
Roscommon,16.723466407010708
Newaygo,16.79349252164786
Houghton,16.89665746703464
St. Joseph,16.901831281897316
Osceola,18.339587242026266
Oceana,18.44987363100252
Ontonagon,18.490374873353595
Berrien,18.982035928143706
Allegan,19.311014070839406
Presque Isle,19.716277951430634
Alger,21.38139790864061
Oscoda,21.403385049365298
Grand Traverse,23.02025782688766
Van Buren,23.193916349809896
Jackson,23.929720366245974
Otsego,24.782973956874823
Dickinson,25.36610878661088
Clare,26.3065693430657
Alcona,27.515560165975096
Manistee,27.860307531925994
Gratiot,28.406169665809767
Tuscola,28.948832035595096
Midland,29.523293607800667
St. Clair,29.695356403430928
Ottawa,29.76370035193565
Kent,29.968944099378884
Mason,30.037817396002158
Emmet,30.073750341436757
Marquette,30.16276703967446
Barry,30.433632998413547
Delta,30.547713156408808
Livingston,31.288888888888877
Lenawee,31.53153153153153
Bay,32.03371970495258
Mecosta,33.7296101741775
Montcalm,34.27589852008456
Ionia,34.3448275862069
Saginaw,34.413754227733925
Lapeer,34.741631459213515
Isabella,35.09519749928957
Leelanau,35.959659628112185
Charlevoix,37.0777027027027
Benzie,37.77117384843983
Macomb,38.02191294047973
Sanilac,38.33535844471444
Detroit,38.471138845553824
Eaton,38.601645123384266
Ingham,39.308176100628934
Genesee,39.438839848675904
Alpena,40.03299422601045
Michigan,41.09292991664095
Clinton,42.347230154197604
Cheboygan,42.46927693626749
Menominee,43.40536512667661
Shiawassee,43.45379146919431
Arenac,44.026284348864984
Oakland,46.16144975288304
Wayne,48.020434227330796
Washtenaw,48.616473616473606
Iosco,55.604770017035776
Ogemaw,57.46323529411763
